key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken
陰1局戊午,癸,艮,坤,天芮,死門,子丑,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,死門,驚門,開門,休門,生門,傷門,杜門,景門
陰1局己未,癸,離,坤,天芮,死門,子丑,庚,丙,丁,己,乙癸,辛,壬,戊,戊,庚,丙,丁,己,乙癸,辛,壬,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,生門,傷門,杜門,景門,死門,驚門,開門,休門
陰1局庚申,癸,艮,坤,天芮,死門,子丑,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,景門,死門,驚門,開門,休門,生門,傷門,杜門
陰1局辛酉,癸,兌,坤,天芮,死門,子丑,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,開門,休門,生門,傷門,杜門,景門,死門,驚門
陰1局壬戌,癸,乾,坤,天芮,死門,子丑,辛,壬,戊,庚,丙,丁,己,乙癸,戊,庚,丙,丁,己,乙癸,辛,壬,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,驚門,開門,休門,生門,傷門,杜門,景門,死門
陰1局癸亥,癸,坤,坤,天芮,死門,子丑,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰2局甲子,戊,坤,坤,天芮,死門,戌亥,己,辛,乙,丙,庚,戊丁,壬,癸,己,辛,乙,丙,庚,戊丁,壬,癸,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰2局乙丑,戊,震,坤,天芮,死門,戌亥,丙,庚,戊丁,壬,癸,己,辛,乙,己,辛,乙,丙,庚,戊丁,壬,癸,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,死門,驚門,開門,休門,生門,傷門,杜門,景門
陰2局丙寅,戊,巽,坤,天芮,死門,戌亥,乙,丙,庚,戊丁,壬,癸,己,辛,己,辛,乙,丙,庚,戊丁,壬,癸,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,生門,傷門,杜門,景門,死門,驚門,開門,休門
陰2局丁卯,戊,坤,坤,天芮,死門,戌亥,己,辛,乙,丙,庚,戊丁,壬,癸,己,辛,乙,丙,庚,戊丁,壬,癸,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,景門,死門,驚門,開門,休門,生門,傷門,杜門
陰2局戊辰,戊,坤,坤,天芮,死門,戌亥,己,辛,乙,丙,庚,戊丁,壬,癸,己,辛,乙,丙,庚,戊丁,壬,癸,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,開門,休門,生門,傷門,杜門,景門,死門,驚門
陰2局己巳,戊,坎,坤,天芮,死門,戌亥,戊丁,壬,癸,己,辛,乙,丙,庚,己,辛,乙,丙,庚,戊丁,壬,癸,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,驚門,開門,休門,生門,傷門,杜門,景門,死門
陰2局庚午,戊,離,坤,天芮,死門,戌亥,辛,乙,丙,庚,戊丁,壬,癸,己,己,辛,乙,丙,庚,戊丁,壬,癸,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰2局辛未,戊,艮,坤,天芮,死門,戌亥,庚,戊丁,壬,癸,己,辛,乙,丙,己,辛,乙,丙,庚,戊丁,壬,癸,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,傷門,杜門,景門,死門,驚門,開門,休門,生門
陰2局壬申,戊,兌,坤,天芮,死門,戌亥,癸,己,辛,乙,丙,庚,戊丁,壬,己,辛,乙,丙,庚,戊丁,壬,癸,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,杜門,景門,死門,驚門,開門,休門,生門,傷門
